timestamp,action,duration_seconds,status,error_message
2026-01-16 17:03:11,OrderSheetPage.handle_table_opening_if_needed,0.003,SUCCESS,
2026-01-16 17:03:12,OrderSheetPage.is_order_sheet_opened,0.857,SUCCESS,
2026-01-16 17:03:14,OrderSheetPage.add_item_to_table,2.6706,SUCCESS,
2026-01-16 17:03:16,OrderSheetPage.handle_keep_open_modal,0.0093,SUCCESS,
2026-01-16 17:03:16,OrderSheetPage.select_table,0.0601,SUCCESS,
2026-01-16 17:03:16,OrderSheetPage.handle_table_opening_if_needed,0.002,SUCCESS,
2026-01-16 17:03:16,OrderSheetPage.is_order_sheet_opened,0.851,SUCCESS,
2026-01-16 17:03:18,OrderSheetPage.add_item_to_table,2.6666,SUCCESS,
2026-01-16 17:03:20,OrderSheetPage.handle_keep_open_modal,0.0097,SUCCESS,
2026-01-16 17:03:20,OrderSheetPage.select_table,0.0946,SUCCESS,
2026-01-16 17:03:20,OrderSheetPage.handle_table_opening_if_needed,0.0024,SUCCESS,
2026-01-16 17:03:21,OrderSheetPage.is_order_sheet_opened,0.8744,SUCCESS,
2026-01-16 17:03:23,OrderSheetPage.add_item_to_table,2.7134,SUCCESS,
2026-01-16 17:03:25,OrderSheetPage.handle_keep_open_modal,0.0092,SUCCESS,
2026-01-16 17:03:25,OrderSheetPage.select_table,0.081,SUCCESS,
2026-01-16 17:03:25,OrderSheetPage.handle_table_opening_if_needed,0.003,SUCCESS,
2026-01-16 17:03:26,OrderSheetPage.is_order_sheet_opened,0.8632,SUCCESS,
2026-01-16 17:03:28,OrderSheetPage.add_item_to_table,2.7078,SUCCESS,
2026-01-16 17:03:30,OrderSheetPage.handle_keep_open_modal,0.0086,SUCCESS,
2026-01-16 17:03:30,OrderSheetPage.select_table,0.0826,SUCCESS,
2026-01-16 17:03:30,OrderSheetPage.handle_table_opening_if_needed,0.0022,SUCCESS,
2026-01-16 17:03:31,OrderSheetPage.is_order_sheet_opened,0.8642,SUCCESS,
2026-01-16 17:03:32,OrderSheetPage.add_item_to_table,2.7145,SUCCESS,
2026-01-16 17:03:34,OrderSheetPage.handle_keep_open_modal,0.0072,SUCCESS,
2026-01-16 17:03:34,OrderSheetPage.select_table,0.0835,SUCCESS,
2026-01-16 17:03:34,OrderSheetPage.handle_table_opening_if_needed,0.0022,SUCCESS,
2026-01-16 17:03:35,OrderSheetPage.is_order_sheet_opened,0.8538,SUCCESS,
2026-01-16 17:03:37,OrderSheetPage.add_item_to_table,2.7302,SUCCESS,
2026-01-16 17:03:39,TESTE: tests/web/test_table_operations.py::test_create_orders_on_multiple_tables,68.7937,SUCCESS,
2026-01-16 17:03:50,OrderSheetPage.handle_keep_open_modal,0.0109,SUCCESS,
2026-01-16 17:03:50,OrderSheetPage.select_table,0.8889,SUCCESS,
2026-01-16 17:03:53,OrderSheetPage.cancel_order_sheet,4.2218,SUCCESS,
2026-01-16 17:03:55,TESTE: tests/web/test_table_operations.py::test_cancel_order_sheet,16.1803,SUCCESS,
2026-01-16 17:04:06,OrderSheetPage.handle_keep_open_modal,0.0085,SUCCESS,
2026-01-16 17:04:06,OrderSheetPage.select_table,0.8845,SUCCESS,
2026-01-16 17:04:09,OrderSheetPage.select_transfer_destination,1.909,SUCCESS,
2026-01-16 17:04:11,OrderSheetPage.handle_administrative_password,1.0903,SUCCESS,
2026-01-16 17:04:16,OrderSheetPage.transfer_order_sheet,10.9983,SUCCESS,
2026-01-16 17:04:18,OrderSheetPage.handle_keep_open_modal,0.0088,SUCCESS,
2026-01-16 17:04:18,OrderSheetPage.select_table,0.0885,SUCCESS,
2026-01-16 17:04:22,OrderSheetPage.select_transfer_destination,1.9105,SUCCESS,
2026-01-16 17:04:23,OrderSheetPage.handle_administrative_password,1.0763,SUCCESS,
2026-01-16 17:04:23,OrderSheetPage.transfer_order_sheet,5.2027,SUCCESS,
2026-01-16 17:04:25,OrderSheetPage.handle_keep_open_modal,0.0057,SUCCESS,
2026-01-16 17:04:25,OrderSheetPage.select_table,0.0871,SUCCESS,
2026-01-16 17:04:25,OrderSheetPage.transfer_order_sheet,0.1404,SUCCESS,
2026-01-16 17:04:28,OrderSheetPage.handle_keep_open_modal,0.0172,SUCCESS,
2026-01-16 17:04:28,OrderSheetPage.select_table,0.0981,SUCCESS,
2026-01-16 17:04:30,OrderSheetPage.select_transfer_destination,1.3934,SUCCESS,
2026-01-16 17:04:32,OrderSheetPage.handle_administrative_password,1.0913,SUCCESS,
2026-01-16 17:04:32,OrderSheetPage.transfer_order_sheet,4.4877,SUCCESS,
2026-01-16 17:04:34,OrderSheetPage.handle_keep_open_modal,0.0062,SUCCESS,
2026-01-16 17:04:34,OrderSheetPage.select_table,0.0645,SUCCESS,
2026-01-16 17:04:34,OrderSheetPage.transfer_order_sheet,0.1285,SUCCESS,
2026-01-16 17:04:36,OrderSheetPage.handle_keep_open_modal,0.0067,SUCCESS,
2026-01-16 17:04:36,OrderSheetPage.select_table,0.0768,SUCCESS,
2026-01-16 17:04:39,OrderSheetPage.select_transfer_destination,1.4068,SUCCESS,
2026-01-16 17:04:40,OrderSheetPage.handle_administrative_password,1.0653,SUCCESS,
2026-01-16 17:04:46,OrderSheetPage.transfer_order_sheet,9.6157,SUCCESS,
2026-01-16 17:04:48,OrderSheetPage.handle_keep_open_modal,0.007,SUCCESS,
2026-01-16 17:04:48,OrderSheetPage.select_table,0.0844,SUCCESS,
2026-01-16 17:04:51,OrderSheetPage.select_transfer_destination,1.3994,SUCCESS,
2026-01-16 17:04:52,OrderSheetPage.handle_administrative_password,1.0671,SUCCESS,
2026-01-16 17:04:57,OrderSheetPage.transfer_order_sheet,9.5964,SUCCESS,
2026-01-16 17:04:59,OrderSheetPage.handle_keep_open_modal,0.0056,SUCCESS,
2026-01-16 17:04:59,OrderSheetPage.select_table,0.0799,SUCCESS,
2026-01-16 17:04:59,OrderSheetPage.transfer_order_sheet,0.1407,SUCCESS,
2026-01-16 17:05:02,OrderSheetPage.handle_keep_open_modal,0.0059,SUCCESS,
2026-01-16 17:05:02,OrderSheetPage.select_table,0.0889,SUCCESS,
2026-01-16 17:05:06,OrderSheetPage.select_transfer_destination,1.3855,SUCCESS,
2026-01-16 17:05:07,OrderSheetPage.handle_administrative_password,1.0764,SUCCESS,
2026-01-16 17:05:13,OrderSheetPage.transfer_order_sheet,11.1464,SUCCESS,
2026-01-16 17:05:15,TESTE: tests/web/test_table_operations.py::test_transfer_order_sheets,79.2885,SUCCESS,
2026-01-16 17:05:32,OrderSheetPage.handle_administrative_password,1.055,SUCCESS,
2026-01-16 17:05:37,TESTE: tests/web/test_table_operations.py::test_merge_tabs,22.3659,SUCCESS,
2026-01-16 17:05:49,OrderSheetPage.handle_keep_open_modal,0.0085,SUCCESS,
2026-01-16 17:05:49,OrderSheetPage.select_table,0.8924,SUCCESS,
2026-01-16 17:05:49,OrderSheetPage.pay_table,0.9385,SUCCESS,
2026-01-16 17:05:51,OrderSheetPage.handle_keep_open_modal,0.0064,SUCCESS,
2026-01-16 17:05:51,OrderSheetPage.select_table,0.0955,SUCCESS,
2026-01-16 17:05:51,OrderSheetPage.pay_table,0.1517,SUCCESS,
2026-01-16 17:05:53,OrderSheetPage.handle_keep_open_modal,0.0066,SUCCESS,
2026-01-16 17:05:53,OrderSheetPage.select_table,0.0865,SUCCESS,
2026-01-16 17:05:53,OrderSheetPage.pay_table,0.1334,SUCCESS,
2026-01-16 17:05:56,OrderSheetPage.handle_keep_open_modal,0.0094,SUCCESS,
2026-01-16 17:05:56,OrderSheetPage.select_table,0.1074,SUCCESS,
2026-01-16 17:05:58,PaymentModal.select_payment_method,1.9192,SUCCESS,
2026-01-16 17:06:03,PaymentModal.launch_payment,5.0688,SUCCESS,
2026-01-16 17:06:20,PaymentModal.finalize_order_sheet,15.008,ERROR,"Locator expected to be enabled Actual value: disabled  Call log:   - Expect ""to_be_enabled"" with timeout 15000ms   - waiting for locator(""button"").filter(has_text=""Finalizar Comanda"")     19 × locator"
2026-01-16 17:06:20,OrderSheetPage.pay_table,24.983,ERROR,"Locator expected to be enabled Actual value: disabled  Call log:   - Expect ""to_be_enabled"" with timeout 15000ms   - waiting for locator(""button"").filter(has_text=""Finalizar Comanda"")     19 × locator"
2026-01-16 17:06:20,TESTE: tests/web/test_table_operations.py::test_receive_payment,43.4685,SUCCESS,
